School Name,Demographic Category,Total Cohort #,Total Grads #,Dropped Out #,Still Enrolled #,Local #,Total Regents #,Regents w/o Advanced #,Advanced Regents #
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,All Students,1552,1081.0,97.0,232.0,285.0,796.0,720.0,76.0
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,ELL Status,1064,817.0,74.0,130.0,166.0,651.0,584.0,67.0
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,Ethnicity,1280,888.0,89.0,192.0,252.0,636.0,582.0,54.0
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,Gender,1475,1059.0,94.0,212.0,282.0,777.0,707.0,70.0
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,SWD Status,1437,994.0,91.0,220.0,258.0,736.0,665.0,71.0
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,All Students,15714,12240.0,1459.0,1443.0,1072.0,11168.0,8750.0,2418.0
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,ELL Status,17865,13975.0,1578.0,1730.0,1127.0,12848.0,10239.0,2609.0
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Ethnicity,15456,12035.0,1445.0,1414.0,1064.0,10971.0,8619.0,2352.0
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,Gender,15714,12240.0,1459.0,1443.0,1072.0,11168.0,8750.0,2418.0
A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,SWD Status,14807,11418.0,1435.0,1392.0,1057.0,10361.0,8223.0,2138.0
ABRAHAM LINCOLN HIGH SCHOOL,SWD Status,31751,21478.0,5465.0,3997.0,3347.0,18131.0,14403.0,3728.0
ABRAHAM LINCOLN HIGH SCHOOL,Gender,31751,21478.0,5465.0,3997.0,3347.0,18131.0,14403.0,3728.0
ABRAHAM LINCOLN HIGH SCHOOL,All Students,31751,21478.0,5465.0,3997.0,3347.0,18131.0,14403.0,3728.0
ABRAHAM LINCOLN HIGH SCHOOL,ELL Status,36406,24703.0,6007.0,4802.0,3528.0,21175.0,16941.0,4234.0
ABRAHAM LINCOLN HIGH SCHOOL,Ethnicity,29512,19774.0,5198.0,3752.0,3166.0,16608.0,13282.0,3326.0
ACADEMY FOR CAREERS IN TELEVISION AND FILM,All Students,2707,2638.0,31.0,28.0,185.0,2453.0,2005.0,448.0
ACADEMY FOR CAREERS IN TELEVISION AND FILM,ELL Status,2363,2319.0,22.0,22.0,88.0,2231.0,1738.0,493.0
ACADEMY FOR CAREERS IN TELEVISION AND FILM,Ethnicity,2518,2455.0,26.0,27.0,171.0,2284.0,1861.0,423.0
ACADEMY FOR CAREERS IN TELEVISION AND FILM,Gender,2707,2638.0,31.0,28.0,185.0,2453.0,2005.0,448.0
ACADEMY FOR CAREERS IN TELEVISION AND FILM,SWD Status,2707,2638.0,31.0,28.0,185.0,2453.0,2005.0,448.0
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,SWD Status,3046,2189.0,341.0,465.0,238.0,1951.0,1635.0,316.0
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,Gender,3046,2189.0,341.0,465.0,238.0,1951.0,1635.0,316.0
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,All Students,3046,2189.0,341.0,465.0,238.0,1951.0,1635.0,316.0
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,ELL Status,3260,2329.0,323.0,540.0,193.0,2136.0,1805.0,331.0
ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORA,Ethnicity,2837,2090.0,296.0,402.0,223.0,1867.0,1559.0,308.0
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,All Students,1737,1287.0,194.0,206.0,145.0,1142.0,1140.0,2.0
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,ELL Status,2048,1610.0,209.0,178.0,163.0,1447.0,1443.0,4.0
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Ethnicity,1574,1174.0,158.0,192.0,135.0,1039.0,1037.0,2.0
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,Gender,1727,1287.0,194.0,196.0,145.0,1142.0,1140.0,2.0
ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,SWD Status,1737,1287.0,194.0,206.0,145.0,1142.0,1140.0,2.0
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,SWD Status,3308,2362.0,586.0,311.0,601.0,1761.0,1580.0,181.0
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,Gender,3308,2362.0,586.0,311.0,601.0,1761.0,1580.0,181.0
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,Ethnicity,3053,2191.0,521.0,294.0,547.0,1644.0,1487.0,157.0
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,All Students,3330,2365.0,589.0,323.0,604.0,1761.0,1580.0,181.0
ACADEMY FOR ENVIRONMENTAL LEADERSHIP,ELL Status,3596,2596.0,639.0,318.0,635.0,1961.0,1724.0,237.0
ACADEMY FOR HEALTH CAREERS,All Students,988,762.0,106.0,103.0,68.0,694.0,677.0,17.0
ACADEMY FOR HEALTH CAREERS,ELL Status,1278,1000.0,126.0,132.0,87.0,913.0,900.0,13.0
ACADEMY FOR HEALTH CAREERS,Ethnicity,914,700.0,96.0,101.0,66.0,634.0,621.0,13.0
ACADEMY FOR HEALTH CAREERS,Gender,988,762.0,106.0,103.0,68.0,694.0,677.0,17.0
ACADEMY FOR HEALTH CAREERS,SWD Status,988,762.0,106.0,103.0,68.0,694.0,677.0,17.0
ACADEMY FOR LANGUAGE AND TECHNOLOGY,SWD Status,1367,1179.0,119.0,59.0,136.0,1043.0,967.0,76.0
ACADEMY FOR LANGUAGE AND TECHNOLOGY,Gender,2474,2170.0,222.0,72.0,157.0,2013.0,1937.0,76.0
