Escuelas,tamaño_muestra_Total Cohort #,p_values_Total Cohort #,Normalidad_Total Cohort #,tamaño_muestra_Total Grads #,p_values_Total Grads #,Normalidad_Total Grads #,tamaño_muestra_Total Regents #,p_values_Total Regents #,Normalidad_Total Regents #,tamaño_muestra_Advanced Regents #,p_values_Advanced Regents #,Normalidad_Advanced Regents #,tamaño_muestra_Dropped Out #,p_values_Dropped Out #,Normalidad_Dropped Out #
ORCHARD COLLEGIATE ACADEMY,404,1.85234022564984e-10,False,404,2.7325726750793145e-11,False,404,2.9962945319317313e-11,False,404,5.385482024516082e-35,False,404,2.499897858165845e-11,False
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,517,2.1860853636515543e-16,False,517,5.882421896048935e-15,False,517,7.533012077534255e-17,False,517,2.0900715041849735e-19,False,517,4.7632164829274675e-20,False
NYC ISCHOOL,239,1.612984160299924e-12,False,239,2.084437874042e-12,False,239,1.9087379246607306e-12,False,239,1.0,True,239,1.8737183760038944e-21,False
EAST SIDE COMMUNITY SCHOOL,482,1.3046605896321894e-12,False,482,2.9566472967840207e-12,False,482,1.1226625098309517e-12,False,482,1.0,True,482,5.44172809717728e-17,False
FORSYTH SATELLITE ACADEMY,295,7.905309189482068e-07,False,295,1.7209644083068798e-13,False,295,8.412038020365678e-14,False,295,1.0,True,295,2.0628343597086513e-13,False
MARTA VALLE HIGH SCHOOL,486,2.723146014238509e-11,False,486,5.536526966054556e-12,False,486,1.4708308906553219e-15,False,486,6.686005886380724e-25,False,486,5.260009486791385e-16,False
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,483,1.3291043612917441e-12,False,483,3.776264457383549e-12,False,483,3.4133613904113735e-12,False,483,1.3165208106046976e-17,False,483,2.031355406721998e-17,False
NEW EXPLORATIONS INTO SCIENCE TECHNOLOGY AND MATH,386,1.9915723619564134e-18,False,386,2.694841732339304e-18,False,386,2.9796253347854384e-18,False,386,2.219046151529095e-19,False,386,7.735675770151189e-28,False
LANDMARK HIGH SCHOOL,451,4.749935861303456e-11,False,451,3.606237877762375e-11,False,451,4.2286566343082993e-19,False,451,1.0,True,451,1.3630054387665097e-13,False
CASCADES HIGH SCHOOL,460,4.102924163612576e-12,False,460,4.364453304241556e-15,False,460,8.806530828660587e-19,False,460,2.0662145856469428e-41,False,460,6.625927405995381e-16,False
BARD HIGH SCHOOL EARLY COLLEGE,414,4.2625831927741234e-16,False,414,6.938410036336109e-16,False,414,6.990941431538045e-16,False,414,1.0,True,414,6.468750326705672e-27,False
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDAR,356,4.9720061509779534e-14,False,356,2.217835324300286e-14,False,356,1.6747879540246848e-17,False,356,2.970268345626131e-28,False,356,3.904644456600932e-18,False
FOOD AND FINANCE HIGH SCHOOL,354,9.349809815262233e-09,False,354,4.371221606902509e-08,False,354,3.2348598799636363e-10,False,354,1.252102199286139e-32,False,354,2.6495541107899084e-19,False
THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,18,0.11142203211784363,True,18,0.1334533542394638,True,18,0.14123347401618958,True,18,1.0,True,18,0.03852134570479393,True
STEPHEN T MATHER BUILDING ARTS AND CRAFTSMANSHIP HIG,20,0.14191468060016632,True,20,0.0209968201816082,True,20,0.02002302184700966,True,20,0.0005864057457074523,False,20,0.21761895716190338,True
ESSEX STREET ACADEMY,397,4.994820182457893e-11,False,397,2.046260938470823e-09,False,397,8.645226028114461e-12,False,397,1.0,True,397,1.434945912093255e-13,False
PARK WEST HS,69,0.00010388628288637847,False,69,5.0857070164056495e-06,False,69,2.7216944999963744e-06,False,69,8.799727439778859e-13,False,69,0.0020178856793791056,False
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,362,3.440415660693752e-11,False,362,4.5823070338180116e-10,False,362,1.0429358765495778e-11,False,362,7.442816455395235e-32,False,362,3.1865202143599447e-10,False
PACE HIGH SCHOOL,390,5.412926441165748e-14,False,390,9.739774362461234e-14,False,390,1.2110825580238793e-13,False,390,3.5021405418817366e-20,False,390,2.9267027844833903e-19,False
PEACE AND DIVERSITY ACADEMY,338,2.3686066441541698e-09,False,338,1.6738629579626796e-11,False,338,1.4209058929459673e-10,False,338,2.137241040670713e-31,False,338,6.15429790462585e-11,False
HARVEY MILK HIGH SCHOOL,364,6.014722747638146e-11,False,364,9.111102497461054e-12,False,364,1.4451626159799644e-17,False,364,1.0,True,364,2.475951030572049e-13,False
URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION T,404,2.6142843518781565e-14,False,404,1.8468919156609115e-13,False,404,4.0296081358845437e-13,False,404,3.8469762974939805e-32,False,404,1.7349160436234094e-16,False
FACING HISTORY SCHOOL THE,374,8.368493098487306e-08,False,374,1.5706191902609135e-08,False,374,1.4088763933273185e-08,False,374,9.417556010901283e-33,False,374,9.394765947945416e-05,False
URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW THE,323,2.312653890612637e-08,False,323,1.3728119938605232e-06,False,323,8.123144112914815e-08,False,323,2.026884543918341e-28,False,323,2.8505897729097507e-13,False
LOWER MANHATTAN ARTS ACADEMY,349,1.2169278917895099e-08,False,349,2.699096501856957e-10,False,349,3.070925111425815e-11,False,349,4.115473475842419e-26,False,349,1.5457004565178067e-09,False
JAMES BALDWIN SCHOOL THE,433,1.877166174238387e-12,False,433,3.283016694328837e-14,False,433,5.349177836288927e-17,False,433,1.0,True,433,5.324889563573104e-16,False
HIGH SCHOOL OF ARTS AND TECHNOLOGY,496,1.0032096952206776e-13,False,496,3.063954255241863e-13,False,496,1.5061502799075185e-14,False,496,2.0272500372735373e-27,False,496,1.0349153581638501e-14,False
URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN,270,2.4147452677425463e-06,False,270,3.058842821701546e-06,False,270,3.9744020341458963e-07,False,270,3.7206567796763846e-20,False,270,6.114846939908603e-08,False
GRAMERCY ARTS HIGH SCHOOL,344,1.1143894695919698e-08,False,344,4.717772394968733e-09,False,344,3.262760894795491e-11,False,344,6.369788014572964e-23,False,344,4.310644896587945e-10,False
MANHATTAN BUSINESS ACADEMY,199,4.642584627845281e-08,False,199,4.596284242097681e-08,False,199,2.5617689303203406e-08,False,199,7.644726458854237e-15,False,199,1.0065749622700793e-10,False
CLARA BARTON HIGH SCHOOL,583,6.83140369944279e-24,False,583,5.149395068976228e-25,False,583,1.65526092096846e-25,False,583,1.1276599469415191e-26,False,583,2.2460686816914543e-25,False
BUSINESS OF SPORTS SCHOOL,172,3.6559313798534276e-07,False,172,1.2904816912850947e-06,False,172,2.9766150078103237e-07,False,172,7.867289602832557e-20,False,172,5.224497726885602e-06,False
EMMA LAZARUS HIGH SCHOOL,270,7.994667753329077e-13,False,270,3.0989434109118807e-12,False,270,2.676075723864746e-12,False,270,2.05880827658508e-14,False,270,1.2367761843953481e-14,False
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,231,4.312406431949967e-09,False,231,4.307931511515761e-10,False,231,5.295379690295476e-10,False,231,1.5647975825373862e-17,False,231,8.20719447264251e-12,False
INSTITUTE FOR COLLABORATIVE EDUCATION,436,4.3003968611219235e-16,False,436,1.1605385816370749e-15,False,436,8.263271786495489e-22,False,436,1.0,True,436,7.590806171880134e-25,False
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,593,5.376294641735642e-20,False,593,9.043605057368319e-20,False,593,1.1230335201069528e-19,False,593,5.701934840135484e-19,False,593,9.656688450678807e-18,False
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,420,1.239596401769055e-15,False,420,3.4468733121510503e-15,False,420,1.6624837628504557e-14,False,420,6.105952598773228e-19,False,420,9.52913158627872e-27,False
MOTT HAVEN COMMUNITY HIGH SCHOOL,204,0.00013450844562612474,False,204,2.5989733368897427e-12,False,204,3.4938987467092453e-12,False,204,1.0,True,204,4.4642747276668615e-09,False
BARUCH COLLEGE CAMPUS HIGH SCHOOL,432,9.891966277808572e-16,False,432,1.0714299744320937e-15,False,432,1.9958359932862853e-15,False,432,4.019654482314769e-14,False,432,4.083340228738184e-37,False
NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,484,1.5470535856337234e-15,False,484,2.4572250040510698e-15,False,484,2.889423141871103e-15,False,484,1.012122950926834e-15,False,484,2.7361219769472275e-33,False
SCHOOL OF THE FUTURE HIGH SCHOOL,496,1.42581525436314e-18,False,496,8.843349051315629e-18,False,496,8.696292882015952e-18,False,496,1.0,True,496,6.93799838134936e-26,False
NYC MUSEUM SCHOOL,489,4.927571570850346e-18,False,489,2.710709951620215e-18,False,489,1.5576667066307504e-18,False,489,3.543096180596894e-23,False,489,1.0707572301921707e-34,False
ELEANOR ROOSEVELT HIGH SCHOOL,382,4.031089765915881e-14,False,382,3.328602652297348e-14,False,382,3.695288297361418e-14,False,382,8.73850484702822e-14,False,382,1.4439352917283538e-33,False
MILLENNIUM HIGH SCHOOL,457,1.4245609218181677e-16,False,457,1.5207842616729502e-16,False,457,1.7469092360631423e-16,False,457,1.2441344419953353e-18,False,457,1.2597834671215873e-32,False
HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVI,592,8.492234249139173e-20,False,592,1.2097294153798406e-19,False,592,3.439443159507058e-20,False,592,8.045209774810067e-24,False,592,2.3948490810113016e-25,False
QUEST TO LEARN,58,2.9995158001838718e-06,False,58,3.2662699140928453e-06,False,58,1.75397610746586e-06,False,58,2.737164550126181e-06,False,58,2.701132643778692e-06,False
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,517,9.972594920541235e-15,False,517,1.6674718128218942e-15,False,517,1.2570021670017867e-18,False,517,2.9656462114427685e-23,False,517,7.070414403693298e-14,False
MURRAY HILL ACADEMY,193,4.884277586825192e-06,False,193,1.0052283414552221e-06,False,193,2.7190832696533107e-08,False,193,2.3335876810864182e-17,False,193,4.141950000757788e-07,False
MANHATTAN ACADEMY FOR ARTS AND LANGUAGE,145,1.4507548939945991e-06,False,145,2.4620934709673747e-05,False,145,0.000175177920027636,False,145,6.778220687363703e-18,False,145,1.9514430960043683e-08,False
LEGACY SCHOOL FOR INTEGRATED STUDIES,345,3.915789914543666e-09,False,345,4.468331538109993e-10,False,345,3.0219014771018396e-16,False,345,2.2046852053732946e-32,False,345,5.492348589819507e-11,False
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,178,2.4582682556228974e-08,False,178,1.1255745846483478e-07,False,178,1.0245138071240945e-08,False,178,1.0,True,178,9.1880489490586e-14,False
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,165,1.4913639745373075e-07,False,165,1.4091535831539659e-06,False,165,4.152889232500456e-06,False,165,1.0,True,165,1.0421270513205627e-09,False
MANHATTAN VILLAGE ACADEMY,450,1.2174191945616298e-14,False,450,6.393953139708806e-15,False,450,1.6684326658214358e-15,False,450,6.769701063096531e-21,False,450,3.3154287240980456e-35,False
BAYARD RUSTIN EDUCATIONAL COMPLEX,338,6.228171190586496e-12,False,338,9.67725909578913e-15,False,338,9.129646366158595e-14,False,338,3.637218330642434e-24,False,338,2.7526914775366507e-11,False
SEWARD PARK HS,60,0.002665512962266803,False,60,0.015777066349983215,True,60,3.4444776247255504e-05,False,60,1.0,True,60,0.0022175360936671495,False
VANGUARD HIGH SCHOOL,499,4.2597132418609185e-13,False,499,6.120223007858791e-14,False,499,1.6370475540268222e-15,False,499,1.0,True,499,6.957992908681037e-16,False
MANHATTAN INTERNATIONAL HIGH SCHOOL,509,9.438192000595375e-18,False,509,6.8562982653825835e-18,False,509,2.2597023205864057e-16,False,509,1.0,True,509,3.322565770127583e-20,False
BRONX COLLABORATIVE HIGH SCHOOL,38,6.245166150620207e-05,False,38,6.2476419770973735e-06,False,38,4.370839178591268e-06,False,38,1.0,True,38,0.00042785154073499143,False
WASHINGTON IRVING HS,502,4.414029619039023e-19,False,502,4.74820291247156e-21,False,502,1.844894214196673e-18,False,502,4.746380620936659e-29,False,502,9.360653744335879e-18,False
AGNES Y HUMPHREY SCHOOL FOR LEADERSHIP,14,0.001415445003658533,False,14,1.0,True,14,1.0,True,14,1.0,True,14,0.0006024530157446861,False
STUYVESANT HIGH SCHOOL,430,1.5475511645506761e-16,False,430,1.8890925836359432e-16,False,430,1.8890925836359432e-16,False,430,1.544459229595402e-16,False,430,1.493622927058222e-23,False
HIGH SCHOOL OF ECONOMICS AND FINANCE,577,2.011808136230635e-17,False,577,3.5378865523472716e-17,False,577,4.3427255128636095e-18,False,577,1.3397330018967636e-21,False,577,7.238937537780172e-15,False
UNITY CENTER FOR URBAN TECHNOLOGIES,408,4.9708775984314e-10,False,408,8.353088186419111e-12,False,408,3.240888731426833e-13,False,408,1.2674252501017915e-30,False,408,1.6120050037654252e-14,False
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,112,1.7170341948258283e-07,False,112,2.2524258724843094e-07,False,112,5.26902681485808e-08,False,112,1.662220796561087e-07,False,112,8.821661623414911e-08,False
TALENT UNLIMITED HIGH SCHOOL,387,1.1607451517970865e-14,False,387,1.2481764855357385e-14,False,387,1.3541576078851991e-15,False,387,5.326377694582312e-16,False,387,9.786733190432269e-27,False
WILLIAM H TAFT HS,72,1.4428009308176115e-05,False,72,2.3103063995222328e-07,False,72,1.2828456075197892e-09,False,72,1.0,True,72,6.079905142541975e-05,False
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,609,7.503202825043075e-20,False,609,2.6834514553044486e-21,False,609,6.807955743046408e-21,False,609,2.3734776362310768e-35,False,609,1.437011454146775e-18,False
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,560,8.40772182634009e-18,False,560,8.338818508495035e-18,False,560,3.589588732072347e-18,False,560,4.593618325345605e-28,False,560,1.062985267706205e-15,False
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,343,3.861739053534485e-11,False,343,9.80885858647973e-11,False,343,2.5543158083465856e-13,False,343,6.959040013400966e-26,False,343,9.261149373799321e-26,False
UNION SQUARE ACADEMY FOR HEALTH SCIENCES,64,6.872440280858427e-05,False,64,0.0003227069682907313,False,64,0.0001590656174812466,False,64,4.5590595618705265e-06,False,64,2.679929833604433e-09,False
HARVEST COLLEGIATE HIGH SCHOOL,64,8.412206807406619e-05,False,64,7.306195766432211e-05,False,64,5.8683282986748964e-05,False,64,1.0,True,64,5.34867353962909e-07,False
MANHATTAN BRIDGES HIGH SCHOOL,361,1.0346902001856506e-08,False,361,1.4087571997833948e-08,False,361,4.3092205151418206e-12,False,361,2.456820387000078e-16,False,361,2.771417589805488e-20,False
NEW DESIGN HIGH SCHOOL,390,1.6385564016729859e-09,False,390,6.721231904371905e-10,False,390,8.958398606262463e-11,False,390,1.0,True,390,4.615078071356369e-16,False
INDEPENDENCE HIGH SCHOOL,528,1.0171463009963494e-14,False,528,9.023843003695572e-24,False,528,1.5233141724165436e-24,False,528,7.370985970945525e-36,False,528,1.2832519165605445e-18,False
URBAN ACADEMY LABORATORY HIGH SCHOOL,335,8.544754530673271e-14,False,335,5.636519896656811e-13,False,335,9.361235744909102e-12,False,335,1.0,True,335,6.142408261864998e-22,False
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,367,2.089030282093063e-08,False,367,1.2278943195553893e-08,False,367,7.520646327918712e-09,False,367,3.892679512063069e-09,False,367,6.936393542445301e-26,False
ACADEMY FOR SOFTWARE ENGINEERING,60,6.260079317144118e-06,False,60,7.213503977254732e-06,False,60,3.866488441417459e-06,False,60,1.0,True,60,1.9541500362318942e-11,False
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,528,3.2876601818852445e-16,False,528,6.803942695691652e-18,False,528,1.2997651754190274e-16,False,528,5.400949598231046e-24,False,528,2.9408863470492605e-19,False
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,408,4.0084845165377914e-11,False,408,5.230120225796497e-10,False,408,7.704102980565786e-12,False,408,1.2968495638340887e-21,False,408,3.69032826300471e-16,False
HIGH SCHOOL M560  CITY AS SCHOOL,553,3.8417357199637715e-15,False,553,7.851737961081707e-19,False,553,2.8059404250347863e-20,False,553,1.0,True,553,2.042585206307472e-28,False
SATELLITE ACADEMY HIGH SCHOOL,486,3.501986414869163e-20,False,486,2.6426080494079987e-22,False,486,1.7849410552029273e-21,False,486,1.0,True,486,7.781574038007016e-24,False
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,599,8.603002625351609e-17,False,599,2.5229719541206257e-20,False,599,9.64223114302897e-20,False,599,4.820093723813447e-28,False,599,6.367081239694002e-20,False
